Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
25.47              -0.0688         -3.9426
25.50              -0.0701         -4.0197
25.53              -0.0715         -4.0965
25.56              -0.0728         -4.1728
25.59              -0.0741         -4.2488
25.62              -0.0754         -4.3243
25.65              -0.0767         -4.3995
25.68              -0.0780         -4.4742
25.71              -0.0793         -4.5485
25.74              -0.0806         -4.6224
25.77              -0.0819         -4.6958
25.80              -0.0832         -4.7689
25.83              -0.0845         -4.8414
25.86              -0.0857         -4.9135
25.89              -0.0870         -4.9852
25.92              -0.0882         -5.0563
25.95              -0.0894         -5.1270
25.98              -0.0907         -5.1972
26.01              -0.0919         -5.2670
26.04              -0.0931         -5.3362
26.07              -0.0943         -5.4049
26.10              -0.0955         -5.4731
26.13              -0.0967         -5.5408
26.16              -0.0978         -5.6080
26.19              -0.0990         -5.6746
26.22              -0.1001         -5.7407
26.25              -0.1013         -5.8063
26.28              -0.1024         -5.8713
26.31              -0.1035         -5.9358
26.34              -0.1047         -5.9997
26.37              -0.1058         -6.0630
26.40              -0.1069         -6.1258
26.43              -0.1079         -6.1879
26.46              -0.1090         -6.2495
26.49              -0.1101         -6.3105
26.52              -0.1111         -6.3709
26.55              -0.1122         -6.4307
26.58              -0.1132         -6.4899
26.61              -0.1142         -6.5485
26.64              -0.1152         -6.6065
26.67              -0.1162         -6.6638
26.70              -0.1172         -6.7205
26.73              -0.1182         -6.7766
26.76              -0.1192         -6.8320
26.79              -0.1201         -6.8867
26.82              -0.1211         -6.9408
26.85              -0.1220         -6.9943
26.88              -0.1229         -7.0471
26.91              -0.1238         -7.0992
26.94              -0.1247         -7.1507
26.97              -0.1256         -7.2014
27.00              -0.1265         -7.2515
27.03              -0.1274         -7.3009
27.06              -0.1282         -7.3496
27.09              -0.1290         -7.3976
27.12              -0.1299         -7.4449
27.15              -0.1307         -7.4914
27.18              -0.1315         -7.5373
27.21              -0.1323         -7.5824
27.24              -0.1330         -7.6269
27.27              -0.1338         -7.6706
27.30              -0.1346         -7.7135
27.33              -0.1353         -7.7558
27.36              -0.1360         -7.7972
27.39              -0.1367         -7.8380
27.42              -0.1374         -7.8780
27.45              -0.1381         -7.9172
27.48              -0.1388         -7.9557
27.51              -0.1394         -7.9935
27.54              -0.1401         -8.0304
27.57              -0.1407         -8.0666
27.60              -0.1413         -8.1020
